Course code,Weighted Mean,Keywords
MA20202,1411.111111111111,Core
MA11004,1219.3807407407407,"Core, Mathematics."
MA20205,684.022962962963,Core
EC29202,640.6666666666666,Core
EC21202,555.5555555555555,Core
ME21202,496.0,Core
ME39201,470.6666666666667,Core
IM20204,446.44444444444446,"Mathematics, Optimization"
MA20203,431.5244444444445,Core
DY17003,425.0733333333334,Entrepreneurship
EV10003,410.5628888888888,Environment
ME31201,406.2222222222222,Core
CY19003,406.0291111111111,Core
PH19003,405.7946666666666,Core
ME31203,401.5555555555556,Core
PH11003,394.8544444444444,Core
HS13003,391.5951111111111,Language
EN19003,386.594,"Tech, Core"
MA20208,381.1111111111112,Core
CY11003,376.9337777777778,Core
CS10003,366.5708888888888,"Tech, Core, Software"
BS10003,365.3655555555556,Core
CS19003,365.1315555555555,Software
ME29202,360.8888888888889,"Core, Tech, Engineering"
EE11003,359.1951111111111,Tech
CE13003,355.1575555555555,"Tech, Core, Software"
ME11003,353.0522222222222,Core
ME29201,349.78,Core
MA30207,337.77777777777777,"Core, Software"
CS29204,333.1111111111111,"Tech, Core"
EC21206,317.55555555555554,Core
EC39201,317.55555555555554,"Tech, Core"
EE29202,317.33333333333337,Core
CS21202,317.11111111111114,"Tech, Core"
EE39203,307.55555555555554,"Tech, Core"
EE21201,298.1233333333334,Core
CS29202,294.0,"Tech, Software"
HS21201,293.8955555555556,Business
CS20202,293.1111111111111,"Tech, Core, Software"
EE21204,288.8888888888889,"Tech, Core"
EC31201,288.44444444444446,Core
ME39604,288.0666666666666,Core
ME30604,286.0622222222222,Core
EC31203,281.55555555555554,Language
EC29201,278.8541666666667,Tech
CS29206,268.8888888888889,"Tech, Software"
EC31205,268.6666666666667,"Core, Mathematics, Optimization"
CH21202,268.44444444444446,Core
EE21202,267.55555555555554,Core
EC21204,259.1111111111111,"Mathematics, Optimization"
EC21208,259.1111111111111,Core
MA20204,259.1111111111111,"Core, Mathematics, Software"
EC21201,247.6880555555556,Tech
CS21204,246.44444444444449,Language
CH21206,242.0,Core
